Thread Title,Thread URL
Videos Stopped Working!,https://wordpress.org/support/topic/videos-stopped-working-2/
Add Custom Fee eCommerce Engine Navite,https://wordpress.org/support/topic/add-custom-fee-ecommerce-engine-navite/
Courses show up as WordPress ‘Posts’,https://wordpress.org/support/topic/courses-show-up-as-wordpress-posts/
Quiz Repeats After Completion,https://wordpress.org/support/topic/quiz-repeats-after-completion/
Mobile Number Registration and OTP Login Support,https://wordpress.org/support/topic/mobile-number-registration-and-otp-login-support/
What Happens to Enrolled Students When a Course Bundle is Drafted in Tutor LMS?,https://wordpress.org/support/topic/what-happens-to-enrolled-students-when-a-course-bundle-is-drafted-in-tutor-lms/
Show video thumbnails,https://wordpress.org/support/topic/show-video-thumbnails-2/
Enable Login via Phone Number for New Registrations in Tutor LMS,https://wordpress.org/support/topic/enable-login-via-phone-number-for-new-registrations-in-tutor-lms/
Edit individual lesson with elementor,https://wordpress.org/support/topic/edit-individual-lesson-with-elementor/
can we add buy now button in course detail page,https://wordpress.org/support/topic/can-we-add-buy-now-button-in-course-detail-page/
Missing a lot of String translations,https://wordpress.org/support/topic/missing-a-lot-of-string-translations/
Issue with Course Bundle Author Assignment & Revenue Sharing,https://wordpress.org/support/topic/issue-with-course-bundle-author-assignment-revenue-sharing/
Edit all courses,https://wordpress.org/support/topic/edit-all-courses/
Student Registration Tutor LMS,https://wordpress.org/support/topic/student-registration-tutor-lms/
WooCommerce and Tutor LMS are not well integrated,https://wordpress.org/support/topic/woocommerce-and-tutor-lms-are-not-well-integrated/
Bug: X-out button doesn’t work on checkout page,https://wordpress.org/support/topic/bug-x-out-button-doesnt-work-on-checkout-page/
Paypal in Native engine – payment not confirmed,https://wordpress.org/support/topic/paypal-in-native-engine-payment-not-confirmed/
Assignment page not working,https://wordpress.org/support/topic/assignment-page-not-working/
Vimeo videos not working,https://wordpress.org/support/topic/vimeo-videos-not-working-4/
Enrollment,https://wordpress.org/support/topic/enrollment-2/
emails not sending after purchase via CartFlows,https://wordpress.org/support/topic/emails-not-sending-after-purchase-via-cartflows/
Vimeo Share Link Not Working with Tutor LMS Course Player,https://wordpress.org/support/topic/vimeo-share-link-not-working-with-tutor-lms-course-player/
Sharing Zoom meeting link on email,https://wordpress.org/support/topic/sharing-zoom-meeting-link-on-email/
Removing woocommerce from existing flow,https://wordpress.org/support/topic/removing-woocommerce-from-existing-flow/
Pages not loading,https://wordpress.org/support/topic/pages-not-loading-29/
Can’t add to cart,https://wordpress.org/support/topic/cant-add-to-cart-14/
Fatal error: Uncaught Exception: Table ‘xxx_10_tutor_carts’ doesn’t exist,https://wordpress.org/support/topic/fatal-error-uncaught-exception-table-xxx_10_tutor_carts-doesnt-exist/
Paypal test with sandbox – no email confirmations,https://wordpress.org/support/topic/paypal-test-with-sandbox-no-email-confirmations/
Date Picker,https://wordpress.org/support/topic/date-picker-51/
‘the content’ function,https://wordpress.org/support/topic/the-content-function/
Auto Complete Orders not Working,https://wordpress.org/support/topic/auto-complete-orders-not-working/
Paypal Card Checkout functionality,https://wordpress.org/support/topic/paypal-card-checkout-functionality/
[NSFW] The lecture is not progressing,https://wordpress.org/support/topic/the-lecture-is-not-progressing/
We can integrate apple/google payment systems,https://wordpress.org/support/topic/we-can-integrate-apple-google-payment-systems/
Login Issues in Tutor LMS 3,https://wordpress.org/support/topic/login-issues-in-tutor-lms-3/
Student registration page is blocked,https://wordpress.org/support/topic/student-registration-page-is-blocked/
Student Management System Integration with Tutor LMS,https://wordpress.org/support/topic/student-management-system-integration-with-tutor-lms/
User Deletion Leads to Data Wipe,https://wordpress.org/support/topic/%e2%9a%a0%ef%b8%8f-critical-user-deletion-leads-to-data-wipe/
“password forgotten” not working,https://wordpress.org/support/topic/password-forgotten-not-working-2/
eCommerce Engine – Native,https://wordpress.org/support/topic/ecommerce-engine-native/
Closing date for assessments,https://wordpress.org/support/topic/closing-date-for-assessments/
Enabling Multi-Currency Payments for Tutor LMS Pro on WordPress,https://wordpress.org/support/topic/enabling-multi-currency-payments-for-tutor-lms-pro-on-wordpress/
The order not completing after pay with PayPal,https://wordpress.org/support/topic/the-order-not-completing-after-pay-with-paypal/
PayPal payment not working（free version）,https://wordpress.org/support/topic/paypal-payment-not-working%ef%bc%88free-version%ef%bc%89/
Guest Buy in native eCommerce engine,https://wordpress.org/support/topic/guest-buy-in-native-ecommerce-engine/
Course builder translation not loaded,https://wordpress.org/support/topic/course-builder-translation-not-loaded/
mandatory checkbox for revocation at checkout,https://wordpress.org/support/topic/mandatory-checkbox-for-revocation-at-checkout/
"BUG scheduling course, it change to yesterday",https://wordpress.org/support/topic/bug-scheduling-course-it-change-to-yesterday/
Intro Video as Course Curriculum,https://wordpress.org/support/topic/intro-video-as-course-curriculum/
How to add custom reviews?,https://wordpress.org/support/topic/how-to-add-custom-reviews/
Course creating and editting problem,https://wordpress.org/support/topic/course-creating-and-editting-problem/
Removing Wishlist Button,https://wordpress.org/support/topic/removing-wishlist-button/
Guest user access does not work,https://wordpress.org/support/topic/guest-user-access-does-not-work/
Influx in bot accounts static nouce value,https://wordpress.org/support/topic/influx-in-bought-accounts-static-nouce-value/
Error 404,https://wordpress.org/support/topic/error-404-110/
Customizing User Registration Fields in Tutor LMS,https://wordpress.org/support/topic/customizing-user-registration-fields-in-tutor-lms/
Front End “About Lesson” removal,https://wordpress.org/support/topic/front-end-about-lesson-removal/
Creating an Account as a Student,https://wordpress.org/support/topic/creating-an-account-as-a-student/
Error in Course-Builder,https://wordpress.org/support/topic/error-in-course-builder/
Lesson and Dashboard Customisation,https://wordpress.org/support/topic/lesson-and-dashboard-customisation/
Divi Theme Builder Compatibility,https://wordpress.org/support/topic/divi-theme-builder-compatibility/
"Red Boxes & Editing Issues After Tutor LMS Update (March 3, 2025)",https://wordpress.org/support/topic/red-boxes-editing-issues-after-tutor-lms-update-march-3-2025/
Add Media Link Broken In Latest Pro Update,https://wordpress.org/support/topic/add-media-link-broken-in-latest-pro-update/
typo in the tab,https://wordpress.org/support/topic/typo-in-the-tab/
Error when sign-up process,https://wordpress.org/support/topic/error-when-sign-up-process/
Valid YouTube URL prompted as invalid just because it has an underscore,https://wordpress.org/support/topic/valid-youtube-url-prompted-as-invalid-just-because-it-has-an-underscore/
Bug in Tutor LMS: Student Registration Date Keeps Changing,https://wordpress.org/support/topic/bug-in-tutor-lms-student-registration-date-keeps-changing/
Are there any course widgets registered in Elementor?,https://wordpress.org/support/topic/are-there-any-course-widgets-registered-in-elementor/
Translation in German,https://wordpress.org/support/topic/translation-in-german-5/
How Can I Protect My Course Videos From Downloading?,https://wordpress.org/support/topic/how-can-i-protect-my-course-videos-from-downloading/
Urgent Security Issue – Zoom Meeting ID & Passcode Exposed,https://wordpress.org/support/topic/urgent-security-issue-zoom-meeting-id-passcode-exposed/
Unable to download certificates,https://wordpress.org/support/topic/unable-to-download-certificates-2/
Quiz redirects back even when passed,https://wordpress.org/support/topic/quiz-redirects-back-even-when-passed/
Compatibility between Divi and Tutor LMS,https://wordpress.org/support/topic/compatibility-between-divi-and-tutor-lms/
Payment and Checkout page,https://wordpress.org/support/topic/payment-and-checkout-page/
Order Received and 404 Not Found,https://wordpress.org/support/topic/order-received-and-404-not-found/
change content order in single course page,https://wordpress.org/support/topic/change-content-order-in-single-course-page/
Inquiry About Adding Clickable Links in Course Announcements,https://wordpress.org/support/topic/inquiry-about-adding-clickable-links-in-course-announcements/
Error 404,https://wordpress.org/support/topic/error-404-109/
add logout text in theme header,https://wordpress.org/support/topic/add-logout-text-in-theme-header/
Paid Memberships Pro – WPML,https://wordpress.org/support/topic/paid-memberships-pro-wpml/
Manually Order Courses in Tutor LMS,https://wordpress.org/support/topic/manually-order-courses-in-tutor-lms/
How to change “Fully Booked” text from card to “Comming Soon”,https://wordpress.org/support/topic/how-to-change-fully-booked-text-from-card-to-comming-soon/
Add end date option to Quiz and assignment,https://wordpress.org/support/topic/add-end-date-option-to-quiz-and-assignment/
Follow-up on YouTube Video Quality Issue in Tutor LMS,https://wordpress.org/support/topic/follow-up-on-youtube-video-quality-issue-in-tutor-lms/
Problemas con el registro de estudiantes,https://wordpress.org/support/topic/problemas-con-el-registro-de-estudiantes/
PayPal Problems,https://wordpress.org/support/topic/paypal-problems-5/
cant dawnload strip,https://wordpress.org/support/topic/cant-dawnload-strip/
Tutor cart doesn’t work,https://wordpress.org/support/topic/tutor-cart-doesnt-work/
Add courses to students,https://wordpress.org/support/topic/cant-see-on-tutor-dashboard-order-made-by-web-admin-on-backend/
I would like to embed custom HTML,https://wordpress.org/support/topic/i-would-like-to-embed-custom-html/
Quiz attempts Still shows after deleting,https://wordpress.org/support/topic/quiz-attempts-still-shows-after-deleting/
I tried to use tutor LMS plugin with Elementor’s TUTOR LMS ADDONS,https://wordpress.org/support/topic/i-tried-to-use-tutor-lms-plugin-with-elementors-tutor-lms-addons/
How can I add “Refund” button for customers to request refund?,https://wordpress.org/support/topic/how-can-i-add-refund-button-for-customers-to-request-refund/
issue with translation,https://wordpress.org/support/topic/issue-with-translation-7/
Issue with add to cart with Tutor lms and WooCommerce,https://wordpress.org/support/topic/issue-with-add-to-cart-with-tutor-lms-and-woocommerce/
Tutor LMS menu Not Shown in WP Admin except “Update to Pro”,https://wordpress.org/support/topic/tutor-lms-menu-not-shown-in-wp-admin-except-update-to-pro/
Enrolling Problem,https://wordpress.org/support/topic/enrolling-problem/
Tutor LMS Course Detail Page not Found,https://wordpress.org/support/topic/tutor-lms-course-detail-page-not-found/
Checkout Transparent,https://wordpress.org/support/topic/checkout-transparent-3/
Expanding Lesson Content Width in Tutor LMS,https://wordpress.org/support/topic/expanding-lesson-content-width-in-tutor-lms/
Double Headers/Footers on Tutor LMS Course Page,https://wordpress.org/support/topic/double-headers-footers-on-tutor-lms-course-page/
Course Enrollment Filter or Hook in Tutor LMS,https://wordpress.org/support/topic/course-enrollment-filter-or-hook-in-tutor-lms/
TutorLMS + polylang,https://wordpress.org/support/topic/tutorlms-polylang/
Tutor LMS + Loco Translate,https://wordpress.org/support/topic/tutor-lms-loco-translate/
PSA: TutorLMS with hCaptcha plugin bug,https://wordpress.org/support/topic/psa-tutorlms-with-hcaptcha-plugin-bug/
How To Show Enrolled Courses To Users,https://wordpress.org/support/topic/how-to-show-enrolled-courses-to-users/
Is it possible to pay by credit card through the Paypal option?(free version),https://wordpress.org/support/topic/is-it-possible-to-pay-by-credit-card-through-the-paypal-optionfree-version/
Tutor zastępuje moje style,https://wordpress.org/support/topic/tutor-zastepuje-moje-style/
Whats the best mode to translate Tutor Lms Pro + Theme Tutor Stater to PT-BR?,https://wordpress.org/support/topic/whats-the-best-mode-to-translate-tutor-lms-pro-theme-tutor-stater-to-pt-br/
Tutor LMS Quizes looping/ lagging Issue,https://wordpress.org/support/topic/tutor-lms-quizes-looping-lagging-issue/
The PayPal payment method is not displayed on the website,https://wordpress.org/support/topic/the-paypal-payment-method-is-not-displayed-on-the-website/
Videopress issue,https://wordpress.org/support/topic/videopress-issue/
Can’t edit when actvie tutor lms,https://wordpress.org/support/topic/cant-edit-when-actvie-tutor-lms/
Error page after registration,https://wordpress.org/support/topic/error-page-after-registration-2/
Error: 150 Foreign key constraint is incorrectly formed,https://wordpress.org/support/topic/error-150-foreign-key-constraint-is-incorrectly-formed/
Past imag to tutor lms editor text,https://wordpress.org/support/topic/past-imag-to-tutor-lms-editor-text-2/
WP Job Manager+Cliptakes+Tutor LMS+Ultimate Member,https://wordpress.org/support/topic/wp-job-managercliptakestutor-lmsultimate-member/
Can’t see list of courses in the dashboard of Tutor LMS,https://wordpress.org/support/topic/cant-see-list-of-courses-in-the-dashboard-of-tutor-lms/
Transfer course from TutorLMS to TutorLMS,https://wordpress.org/support/topic/transfer-course-from-tutorlms-to-tutorlms/
Problem with login social plugin,https://wordpress.org/support/topic/problem-with-login-social-plugin/
Past imag to tutor lms editor text,https://wordpress.org/support/topic/past-imag-to-tutor-lms-editor-text/
After loco translate the course filter categori doesnt stack,https://wordpress.org/support/topic/after-loco-translate-the-course-filter-categori-doesnt-stack/
Enroll Student to Tutor lms Course Using WooCommerce Order API,https://wordpress.org/support/topic/enroll-student-to-tutor-lms-course-using-woocommerce-order-api/
Scorm files in course builder,https://wordpress.org/support/topic/scorm-files-in-course-builder/
“Something Went Wrong!” Error When Changing Pages in Tutor LMS,https://wordpress.org/support/topic/something-went-wrong-error-when-changing-pages-in-tutor-lms/
Password Reset Email Template Not Available in Tutor LMS Pro,https://wordpress.org/support/topic/password-reset-email-template-not-available-in-tutor-lms-pro/
TutorLMS Pro Customer Support is Very Poor. I’ve Been Facing Lot of Issues,https://wordpress.org/support/topic/tutorlms-pro-customer-support-is-very-poor-ive-been-facing-lot-of-issues/
import students error,https://wordpress.org/support/topic/import-students-error/
Compatibility Regarding New Course Builder,https://wordpress.org/support/topic/compatibility-regarding-new-course-builder/
Feature Req.: Subcategories under Tutor LMS Elementor addon-Course List- Querry,https://wordpress.org/support/topic/subcategory-selection-not-available-in-tutor-lms-elementor-addon-querry/
Where can the instructor see withdrawal guidance?,https://wordpress.org/support/topic/where-can-the-instructor-see-withdrawal-guidance/
Mercado Pago,https://wordpress.org/support/topic/mercado-pago-9/
Add to basket with Native Tutor E commerce,https://wordpress.org/support/topic/add-to-basket-with-native-tutor-e-commerce/
Issue with Completed Courses Not Showing in Tutor LMS,https://wordpress.org/support/topic/issue-with-completed-courses-not-showing-in-tutor-lms/
Strings in JS files are not translate able,https://wordpress.org/support/topic/strings-in-js-files-are-not-translate-able/
Is it possible to get user info to Tutor LMS instead of wp user?,https://wordpress.org/support/topic/is-it-possible-to-get-user-info-to-tutor-lms-instead-of-wp-user/
Course Builder/Create-Course Background Color,https://wordpress.org/support/topic/course-builder-create-course-background-color/
Import Export Option,https://wordpress.org/support/topic/import-export-option-4/
Short cut cood to quize,https://wordpress.org/support/topic/short-cut-cood-to-quize/
number of students registered in the course,https://wordpress.org/support/topic/number-of-students-registered-in-the-course/
Low-Quality Playback Issue in Tutor LMS YouTube Player,https://wordpress.org/support/topic/low-quality-playback-issue-in-tutor-lms-youtube-player/
Loading problems with header and footer images,https://wordpress.org/support/topic/loading-problems-with-header-and-footer-images/
Something went wrong error,https://wordpress.org/support/topic/something-went-wrong-error-8/
WooCommerce Lost Password Link Not Working When Tutor LMS is Activated,https://wordpress.org/support/topic/woocommerce-lost-password-link-not-working-when-tutor-lms-is-activated/
Cannot Create New Course on Frontend,https://wordpress.org/support/topic/cannot-create-new-course-on-frontend/
lessons not work,https://wordpress.org/support/topic/lessons-not-work/
Q&A,https://wordpress.org/support/topic/qa-3/
This page doesn’t seem to exist.,https://wordpress.org/support/topic/this-page-doesnt-seem-to-exist-26/
WooCommerce TutorLMS order not set to complete automatically,https://wordpress.org/support/topic/woocommerce-tutorlms-order-not-set-to-complete-automatically/
Tutor LMS automatic goods in Woocommerce for courses,https://wordpress.org/support/topic/tutor-lms-automatic-goods-in-woocommerce-for-courses/
Can’t find user enrollment information in database,https://wordpress.org/support/topic/cant-find-user-enrollment-information-in-database/
Google Classroom import not working,https://wordpress.org/support/topic/google-classroom-import-not-working/
Cart Page change,https://wordpress.org/support/topic/cart-page-change/
Image and Category Sync Issue Between Tutor LMS Course and WooCommerce Product,https://wordpress.org/support/topic/image-and-category-sync-issue-between-tutor-lms-course-and-woocommerce-product/
Issue with “Add to Cart” Button for Unlogged-In Users (Free Version),https://wordpress.org/support/topic/issue-with-add-to-cart-button-for-unlogged-in-users-free-version/
Can’t see details of students,https://wordpress.org/support/topic/cant-see-details-of-students/
SEO and Unicode for Tutor LMS,https://wordpress.org/support/topic/seo-and-unicode-for-tutor-lms/
Tutor LMS video is paid but not showing,https://wordpress.org/support/topic/tutor-lms-video-is-paid-but-not-showing/
Tutor LMS and WooCommerce Integration: Account Setup and Course Access,https://wordpress.org/support/topic/tutor-lms-and-woocommerce-integration-account-setup-and-course-access/
2FA issue,https://wordpress.org/support/topic/2fa-issue-4/
Seeing Error “Register” link,https://wordpress.org/support/topic/seeing-error-register-link/
Doubts about Tutur Player,https://wordpress.org/support/topic/doubts-about-tutur-player/
Formulário de Cadastro não aparece,https://wordpress.org/support/topic/formulario-de-cadastro-nao-aparece/
Reset course data / students?,https://wordpress.org/support/topic/reset-course-data-students/
Issue with Displaying HTML Tags in the Biography Content,https://wordpress.org/support/topic/issue-with-displaying-html-tags-in-the-biography-content/
"integration with OneSignal,",https://wordpress.org/support/topic/integration-with-onesignal/
Custom Elementor Single Course Template Not Applying to Tutor LMS Courses,https://wordpress.org/support/topic/custom-elementor-single-course-template-not-applying-to-tutor-lms-courses-2/
Redirect to lesson instead of course section,https://wordpress.org/support/topic/redirect-to-lesson-instead-of-course-section/
YouTube video not fullscreen,https://wordpress.org/support/topic/youtube-video-not-fullscreen/
How to change the expiration date of a course for specific users,https://wordpress.org/support/topic/how-to-change-the-expiration-date-of-a-course-for-specific-users/
Using Gutenberg in Lessons?,https://wordpress.org/support/topic/using-gutenberg-in-lessons/
Inquiry to buy Tutor LMS PRO 3.0,https://wordpress.org/support/topic/inquiry-to-buy-tutor-lms-pro-3-0-2/
Inquiry to buy Tutor LMS PRO 3.0,https://wordpress.org/support/topic/inquiry-to-buy-tutor-lms-pro-3-0/
Queries for Bundles,https://wordpress.org/support/topic/queries-for-bundles/
Problem with automatic student enrollment,https://wordpress.org/support/topic/problem-with-automatic-student-enrollment/
videos freeze,https://wordpress.org/support/topic/videos-freeze/
Tutor LMS – Coupon error,https://wordpress.org/support/topic/tutor-lms-coupon-error/
Report not showing students for instructor in dashboard,https://wordpress.org/support/topic/report-not-showing-students-for-instructor-in-dashboard/
Missing translations,https://wordpress.org/support/topic/missing-translations-41/
Block/Site Editor Support,https://wordpress.org/support/topic/block-site-editor-support/
Hide “A Course By” section,https://wordpress.org/support/topic/hide-a-course-by-section/
Auto Student Enrollment,https://wordpress.org/support/topic/auto-student-enrollment/
Missing enrollment?,https://wordpress.org/support/topic/missing-enrollment/
Downloaded files in Tutor panel,https://wordpress.org/support/topic/downloaded-files-in-tutor-panel/
School Enrollment and Payment,https://wordpress.org/support/topic/school-enrollment-and-payment/
There is no total lessons? in tutor lms plugin,https://wordpress.org/support/topic/there-is-no-total-lessons-in-tutor-lms-plugin/
Conflict with Twenty Twenty Five,https://wordpress.org/support/topic/conflict-with-twenty-twenty-five/
Next lesson won’t auto load,https://wordpress.org/support/topic/next-lesson-wont-auto-load/
[OxygenBuilder + Oxygen LMS Plugin] Cart page empty,https://wordpress.org/support/topic/oxygenbuilder-oxygen-lms-plugin-cart-page-empty/
Unable To Access REST APIs,https://wordpress.org/support/topic/unable-to-access-rest-apis/
Tutor LMS automatic enroll,https://wordpress.org/support/topic/tutor-lms-automatic-enroll/
Fatal error in login_form_middle hook,https://wordpress.org/support/topic/fatal-error-in-login_form_middle-hook/
Quizz without time limit = leave without alert message,https://wordpress.org/support/topic/quizz-without-time-limit-leave-without-alert-message/
Problem in the plugin translation,https://wordpress.org/support/topic/problem-in-the-plugin-translation/
retry mode – button text : “Retry” instead of “Start Quiz”,https://wordpress.org/support/topic/retry-mode-button-text-retry-instead-of-start-quiz/
Upgrading from Themeum 200.2.1 ver. to Ver 3.1 crashes site,https://wordpress.org/support/topic/upgrading-from-themeum-200-2-1-ver-to-ver-3-1-crashes-site/
Inquiry About Decimal Fraction Support in Tutor LMS,https://wordpress.org/support/topic/inquiry-about-decimal-fraction-support-in-tutor-lms/
Difficulty translating the plugin into other languages,https://wordpress.org/support/topic/difficulty-translating-the-plugin-into-other-languages/
Unable to create and edit courses nor can add woocommerce product,https://wordpress.org/support/topic/unable-to-create-and-edit-courses-nor-can-add-woocommerce-product/
Assistance Required: Unable to Add/Edit Courses in Tutor LMS Pro After Update,https://wordpress.org/support/topic/assistance-required-unable-to-add-edit-courses-in-tutor-lms-pro-after-update/
Issue with Certificate Issuance – Nonce not matched,https://wordpress.org/support/topic/issue-with-certificate-issuance-nonce-not-matched/
Emails translation issue,https://wordpress.org/support/topic/emails-translation-issue/
Change text font color in different areas,https://wordpress.org/support/topic/change-text-font-color-in-different-areas/
Tutor LMS Zoom Meeting issue,https://wordpress.org/support/topic/tutor-lms-zoom-meeting-issue/
Enroll for Many Courses at Onetime,https://wordpress.org/support/topic/enroll-for-many-courses-at-onetime/
Course listing title change,https://wordpress.org/support/topic/course-listing-title-change/
Editing The Tutor Dashboard Not working,https://wordpress.org/support/topic/editing-the-tutor-dashboard-not-working/
incorrectly counts the number of lessons and quizzes,https://wordpress.org/support/topic/incorrectly-counts-the-number-of-lessons-and-quizzes/
error in tutor lms 3.0 update,https://wordpress.org/support/topic/error-in-tutor-lms-3-0-update/
Issue: Setting Default Sorting for Dropdown in Tutor LMS Course Page,https://wordpress.org/support/topic/issue-setting-default-sorting-for-dropdown-in-tutor-lms-course-page/
Issues with Tutor LMS and WooCommerce Integration (Free Version),https://wordpress.org/support/topic/issues-with-tutor-lms-and-woocommerce-integration-free-version/
Student Registration not working,https://wordpress.org/support/topic/student-registration-not-working-3/
Tutor LMS custom field in course builder,https://wordpress.org/support/topic/tutor-lms-custom-field-in-course-builder/
Lost Course Page,https://wordpress.org/support/topic/lost-course-page/
Social Login Users (Google) in Tutor LMS for React Native App,https://wordpress.org/support/topic/social-login-users-google-in-tutor-lms-for-react-native-app/
problem using shortcodes with user panel,https://wordpress.org/support/topic/problem-using-shortcodes-with-user-panel/
Abandon Quiz?,https://wordpress.org/support/topic/abandon-quiz/
Create a new course in frontend issue,https://wordpress.org/support/topic/create-a-new-course-in-frontend-issue/
Problem Disabling Right-click and Hotlink,https://wordpress.org/support/topic/problem-disabling-right-click-and-hotlink/
Issue with Schedule field in Course Builder,https://wordpress.org/support/topic/issue-with-schedule-field-in-course-builder/
Display of Custom Field – TUTOR and ACF integration,https://wordpress.org/support/topic/display-of-custom-field-tutor-and-acf-integration/
Can’t Abandon Quiz,https://wordpress.org/support/topic/cant-abandon-quiz/
Tutlor lms courses not showing start learning instead of add to cart,https://wordpress.org/support/topic/tutlor-lms-courses-not-showing-start-learning-instead-of-add-to-cart/
Email tags not working,https://wordpress.org/support/topic/email-tags-not-working/
Course order not showing content list material,https://wordpress.org/support/topic/course-order-not-showing-content-list-material/
Student Registration form not working,https://wordpress.org/support/topic/student-registration-form-not-working/
Native Subscription Plans,https://wordpress.org/support/topic/native-subscription-plans/
Tutor LMS free courses,https://wordpress.org/support/topic/tutor-lms-free-courses/
Bulk update not working,https://wordpress.org/support/topic/bulk-update-not-working-4/
Problem with TUTOR LMS PLUGIN,https://wordpress.org/support/topic/problem-with-tutor-lms-plugin/
Course builder extinding,https://wordpress.org/support/topic/course-builder-extinding/
How to do subscription,https://wordpress.org/support/topic/how-to-do-subscription/
Multiple Bugs on my Tutor LMS site,https://wordpress.org/support/topic/multiple-bugs-on-my-tutor-lms-site/
Critical error on frontpage,https://wordpress.org/support/topic/critical-error-on-frontpage/
"After the new update, the error remains the same",https://wordpress.org/support/topic/after-the-new-update-the-error-remains-the-same/
Students and Quiz Bugs,https://wordpress.org/support/topic/students-and-quiz-bugs/
Earned Marks does not account for decimal fractions,https://wordpress.org/support/topic/earned-marks-does-not-account-for-decimal-fractions/
Tutor LMS 3 upgrade from 2 with WooCommerce setup,https://wordpress.org/support/topic/tutor-lms-3-upgrade-from-2-with-woocommerce-setup/
quiz Result,https://wordpress.org/support/topic/quiz-result-2/
Admin pages no longer mobile friendly after update to 3.0,https://wordpress.org/support/topic/admin-pages-no-longer-mobile-friendly-after-update-to-3-0/
Woocommerce product isn’t showing on the Cart,https://wordpress.org/support/topic/woocommerce-cart-replaced-with-tutor-lms/
Cart page not displaying properly after updated to 3.0,https://wordpress.org/support/topic/cart-page-not-displaying-properly-after-updated-to-3-0/
Copy a course in free edition,https://wordpress.org/support/topic/copy-a-course-in-free-edition/
Error code,https://wordpress.org/support/topic/error-code-79/
Checkout Issue in Tutor LMS on WordPress – Need Help to Fix,https://wordpress.org/support/topic/checkout-issue-in-tutor-lms-on-wordpress-need-help-to-fix/
After the update of 3.0.0 I can’t access the add new and edit courses,https://wordpress.org/support/topic/after-the-update-of-3-0-0-i-cant-access-the-add-new-courses/
tutor lms Video Lesson Completion Control not working,https://wordpress.org/support/topic/tutor-lms-video-lesson-completion-control-not-working/
Custom TinyMCE addon doesn’t work after updating to 3.0.1,https://wordpress.org/support/topic/custom-tinymce-addon-doesnt-work-after-updating-to-3-0-1/
Logo Issue,https://wordpress.org/support/topic/logo-issue-17/
how to show that the answer is wrong at once?,https://wordpress.org/support/topic/how-to-show-that-the-answer-is-wrong-at-once/
After the update I can’t access the create courses and addons page,https://wordpress.org/support/topic/after-the-update-i-cant-access-the-create-courses-and-addons-page/
Add a short description or excerpt under the title of course,https://wordpress.org/support/topic/add-a-short-description-or-excerpt-under-the-title-of-course/
Multiple classes inside a course?,https://wordpress.org/support/topic/multiple-classes-inside-a-course/
Logo on email not appearing,https://wordpress.org/support/topic/logo-on-email-not-appearing/
Is the right to customize course page?,https://wordpress.org/support/topic/is-the-right-to-customize-course-page/
HTTPS is gone on Course page,https://wordpress.org/support/topic/https-is-gone-on-course-page/
"This Amazing LMS Plugin, but hmmmmm..",https://wordpress.org/support/topic/this-amazing-lms-plugin-but-hmmmmm/
